Frame,ID,Type,X,Y,Team
112,1,ball,1258,627,-1
113,5,player,1263,609,2
113,22,referee,987,670,-1
113,27,referee,1703,1038,-1
113,1,ball,1263,627,-1
114,5,player,1264,608,2
114,22,referee,985,669,-1
114,27,referee,1701,1038,-1
114,1,ball,1276,623,-1
115,5,player,1267,605,2
115,27,referee,1699,1037,-1
115,22,referee,985,666,-1
115,44,referee,965,389,-1
115,1,ball,1288,619,-1
116,5,player,1270,605,2
116,27,referee,1696,1037,-1
116,22,referee,983,664,-1
116,44,referee,967,387,-1
116,1,ball,1299,615,-1
117,5,player,1274,605,2
117,27,referee,1691,1037,-1
117,22,referee,982,663,-1
117,44,referee,968,386,-1
117,1,ball,1310,610,-1
118,5,player,1271,604,2
118,27,referee,1686,1037,-1
118,22,referee,982,662,-1
118,44,referee,969,386,-1
118,1,ball,1321,606,-1
119,69,player,1275,604,1
119,27,referee,1684,1036,-1
119,22,referee,981,662,-1
119,44,referee,970,386,-1
119,1,ball,1332,602,-1
120,5,player,1282,602,2
120,22,referee,979,662,-1
120,27,referee,1682,1037,-1
120,44,referee,972,385,-1
120,1,ball,1343,598,-1
121,5,player,1286,602,2
121,22,referee,979,662,-1
121,27,referee,1680,1036,-1
121,44,referee,973,386,-1
121,1,ball,1355,594,-1
122,5,player,1289,603,2
122,22,referee,979,662,-1
122,27,referee,1680,1035,-1
122,44,referee,974,387,-1
122,1,ball,1364,590,-1
123,22,referee,978,662,-1
123,27,referee,1677,1033,-1
123,44,referee,975,388,-1
123,1,ball,1374,586,-1
124,22,referee,977,661,-1
124,27,referee,1675,1031,-1
124,44,referee,977,388,-1
124,1,ball,1383,582,-1
125,22,referee,977,661,-1
125,27,referee,1673,1030,-1
125,44,referee,978,388,-1
125,1,ball,1391,581,-1
126,22,referee,977,661,-1
126,27,referee,1670,1031,-1
126,44,referee,980,388,-1
126,1,ball,1399,579,-1
127,22,referee,976,660,-1
127,27,referee,1669,1031,-1
127,44,referee,980,388,-1
127,1,ball,1406,574,-1
128,22,referee,976,658,-1
128,27,referee,1667,1032,-1
128,44,referee,982,388,-1
128,1,ball,1414,570,-1
129,22,referee,976,656,-1
129,27,referee,1664,1032,-1
129,44,referee,985,388,-1
129,1,ball,1421,568,-1
130,22,referee,976,655,-1
130,27,referee,1659,1032,-1
130,44,referee,989,388,-1
130,1,ball,1427,566,-1
131,22,referee,974,655,-1
131,27,referee,1657,1032,-1
131,44,referee,990,388,-1
131,1,ball,1434,564,-1
132,22,referee,974,655,-1
132,27,referee,1654,1032,-1
132,44,referee,992,388,-1
132,1,ball,1441,562,-1
133,25,player,1523,545,1
133,22,referee,974,655,-1
133,27,referee,1654,1033,-1
133,44,referee,993,387,-1
133,1,ball,1448,559,-1
134,25,player,1523,545,1
134,22,referee,973,653,-1
134,27,referee,1653,1032,-1
134,44,referee,994,386,-1
134,1,ball,1454,557,-1
135,25,player,1522,547,1
135,22,referee,973,654,-1
135,27,referee,1652,1032,-1
135,44,referee,997,387,-1
135,15,referee,1145,457,-1
135,1,ball,1460,555,-1
136,25,player,1521,547,1
136,22,referee,973,655,-1
136,27,referee,1652,1032,-1
136,44,referee,999,387,-1
136,74,referee,1144,459,-1
136,1,ball,1466,553,-1
137,25,player,1520,547,1
137,22,referee,973,653,-1
137,27,referee,1653,1032,-1
137,44,referee,1000,387,-1
137,1,ball,1472,551,-1
138,25,player,1519,548,1
138,22,referee,973,652,-1
138,27,referee,1650,1032,-1
138,44,referee,1003,387,-1
138,1,ball,1477,549,-1
139,25,player,1517,548,1
139,22,referee,973,651,-1
139,27,referee,1649,1032,-1
139,44,referee,1004,388,-1
139,1,ball,1482,547,-1
140,22,referee,973,649,-1
140,27,referee,1648,1032,-1
140,1,ball,1388,544,-1
141,5,player,1311,595,2
141,22,referee,973,651,-1
141,27,referee,1645,1033,-1
141,1,ball,1294,541,-1
142,16,player,1184,511,2
142,22,referee,973,649,-1
142,27,referee,1644,1033,-1
142,44,referee,1012,391,-1
142,1,ball,1201,538,-1
143,22,referee,973,649,-1
143,27,referee,1644,1033,-1
143,44,referee,1014,391,-1
143,1,ball,1107,535,-1
144,27,referee,1643,1033,-1
144,22,referee,974,649,-1
144,44,referee,1016,390,-1
144,1,ball,1013,532,-1
145,4,player,881,540,1
145,27,referee,1642,1033,-1
145,22,referee,974,649,-1
145,44,referee,1019,389,-1
145,1,ball,919,529,-1
146,30,player,822,518,2
146,27,referee,1641,1033,-1
146,22,referee,975,648,-1
146,44,referee,1021,389,-1
146,1,ball,826,526,-1
147,12,player,760,590,1
147,27,referee,1641,1032,-1
147,22,referee,976,648,-1
147,44,referee,1023,389,-1
147,1,ball,732,523,-1
148,27,referee,1640,1033,-1
148,22,referee,977,648,-1
148,44,referee,1026,389,-1
148,1,ball,638,520,-1
149,27,referee,1640,1033,-1
149,22,referee,978,646,-1
149,44,referee,1029,389,-1
149,1,ball,545,517,-1
150,27,referee,1638,1033,-1
150,22,referee,979,645,-1
150,44,referee,1031,388,-1
150,1,ball,451,514,-1
151,27,referee,1638,1033,-1
151,22,referee,980,642,-1
151,44,referee,1033,390,-1
151,1,ball,451,514,-1
152,22,referee,982,639,-1
152,27,referee,1638,1032,-1
152,44,referee,1035,390,-1
152,1,ball,452,514,-1
153,22,referee,983,639,-1
153,27,referee,1638,1032,-1
153,44,referee,1039,389,-1
153,1,ball,453,513,-1
154,22,referee,983,638,-1
154,27,referee,1637,1032,-1
154,44,referee,1040,390,-1
154,1,ball,454,513,-1
155,27,referee,1638,1032,-1
155,22,referee,985,637,-1
155,44,referee,1042,389,-1
155,1,ball,455,512,-1
156,27,referee,1640,1030,-1
156,22,referee,986,636,-1
156,44,referee,1045,389,-1
156,1,ball,456,512,-1
157,27,referee,1639,1028,-1
157,22,referee,987,633,-1
157,44,referee,1047,389,-1
157,1,ball,504,511,-1
158,27,referee,1641,1027,-1
158,22,referee,988,630,-1
158,44,referee,1050,389,-1
158,1,ball,553,511,-1
159,27,referee,1640,1027,-1
159,22,referee,988,629,-1
159,44,referee,1052,390,-1
159,1,ball,601,511,-1
160,22,referee,990,628,-1
160,27,referee,1641,1026,-1
160,1,ball,650,510,-1
161,22,referee,991,628,-1
161,27,referee,1641,1026,-1
161,1,ball,698,510,-1
162,22,referee,992,627,-1
162,27,referee,1641,1027,-1
162,44,referee,1062,389,-1
162,1,ball,746,509,-1
163,30,player,873,503,2
163,27,referee,1641,1028,-1
163,22,referee,994,628,-1
163,44,referee,1064,388,-1
163,1,ball,795,509,-1
164,30,player,877,501,2
164,22,referee,995,627,-1
164,27,referee,1637,1027,-1
164,44,referee,1066,388,-1
164,1,ball,843,508,-1
165,30,player,880,498,2
165,27,referee,1635,1026,-1
165,22,referee,997,626,-1
165,44,referee,1067,389,-1
165,1,ball,892,508,-1
166,14,player,928,523,2
166,27,referee,1635,1026,-1
166,22,referee,998,627,-1
166,44,referee,1070,390,-1
166,1,ball,940,507,-1
167,4,player,945,535,1
167,27,referee,1634,1026,-1
167,22,referee,999,623,-1
167,44,referee,1071,390,-1
167,1,ball,988,507,-1
168,23,player,1006,455,1
168,27,referee,1634,1027,-1
168,22,referee,1000,618,-1
168,44,referee,1074,391,-1
168,1,ball,1037,507,-1
169,27,referee,1634,1027,-1
169,22,referee,1002,616,-1
169,44,referee,1075,390,-1
169,1,ball,1085,506,-1
170,27,referee,1635,1027,-1
170,44,referee,1078,390,-1
170,22,referee,1006,615,-1
170,1,ball,1133,506,-1
171,27,referee,1639,1025,-1
171,22,referee,1010,614,-1
171,44,referee,1082,389,-1
171,1,ball,1182,505,-1
172,16,player,1266,493,2
172,22,referee,1012,614,-1
172,27,referee,1643,1029,-1
172,44,referee,1087,388,-1
172,1,ball,1230,505,-1
173,16,player,1267,493,2
173,22,referee,1014,614,-1
173,27,referee,1643,1029,-1
173,44,referee,1088,388,-1
173,1,ball,1279,504,-1
174,16,player,1268,493,2
174,22,referee,1016,614,-1
174,27,referee,1643,1030,-1
174,44,referee,1089,389,-1
174,1,ball,1327,504,-1
175,22,referee,1018,614,-1
175,27,referee,1642,1028,-1
175,44,referee,1089,389,-1
175,1,ball,1375,504,-1
176,25,player,1508,525,1
176,22,referee,1018,613,-1
176,27,referee,1642,1029,-1
176,44,referee,1089,389,-1
176,1,ball,1424,503,-1
177,25,player,1510,525,1
177,22,referee,1019,612,-1
177,27,referee,1641,1028,-1
177,44,referee,1088,390,-1
177,1,ball,1472,503,-1
178,25,player,1511,524,1
178,22,referee,1020,608,-1
178,27,referee,1640,1027,-1
178,44,referee,1089,390,-1
178,1,ball,1461,498,-1
179,25,player,1510,523,1
179,22,referee,1021,605,-1
179,27,referee,1641,1027,-1
179,44,referee,1089,389,-1
179,1,ball,1450,493,-1
180,25,player,1509,521,1
180,22,referee,1022,603,-1
180,27,referee,1640,1027,-1
180,44,referee,1089,387,-1
180,1,ball,1439,488,-1
181,22,referee,1023,601,-1
181,27,referee,1640,1025,-1
181,44,referee,1089,387,-1
181,1,ball,1428,483,-1
182,22,referee,1024,602,-1
182,27,referee,1640,1025,-1
182,44,referee,1089,386,-1
182,1,ball,1416,479,-1
183,22,referee,1024,601,-1
183,27,referee,1639,1025,-1
183,44,referee,1088,385,-1
183,1,ball,1405,475,-1
184,22,referee,1025,602,-1
184,27,referee,1640,1025,-1
184,44,referee,1088,388,-1
184,1,ball,1396,473,-1
185,22,referee,1026,600,-1
185,27,referee,1639,1025,-1
185,44,referee,1088,387,-1
185,1,ball,1386,470,-1
186,22,referee,1027,599,-1
186,27,referee,1639,1024,-1
186,44,referee,1087,387,-1
186,1,ball,1377,468,-1
187,27,referee,1639,1024,-1
187,22,referee,1027,597,-1
187,44,referee,1087,387,-1
187,1,ball,1367,465,-1
188,27,referee,1639,1024,-1
188,22,referee,1030,594,-1
188,44,referee,1087,388,-1
188,1,ball,1360,459,-1
189,27,referee,1639,1023,-1
189,22,referee,1030,592,-1
189,44,referee,1086,388,-1
189,1,ball,1352,455,-1
190,22,referee,1032,591,-1
190,27,referee,1638,1024,-1
190,44,referee,1085,386,-1
190,1,ball,1343,453,-1
191,16,player,1256,474,2
191,22,referee,1033,590,-1
191,27,referee,1637,1023,-1
191,44,referee,1081,385,-1
191,1,ball,1333,451,-1
192,15,player,1255,428,1
192,22,referee,1035,590,-1
192,27,referee,1636,1022,-1
192,44,referee,1080,385,-1
192,1,ball,1325,448,-1
193,15,player,1256,428,1
193,27,referee,1635,1022,-1
193,22,referee,1036,590,-1
193,44,referee,1078,385,-1
193,1,ball,1318,446,-1
194,15,player,1255,428,1
194,22,referee,1037,589,-1
194,27,referee,1634,1022,-1
194,44,referee,1077,386,-1
194,1,ball,1310,443,-1
195,15,player,1255,428,1
